model_mtr_name,model_mtr_ep,dataset_name,dataset_type,metric_1,metric_2,p_value_mantissa,p_value_exponent,epoch,loss,loss_ranking,metric_1_ranking
ChemBerta_Medium_10m,0.0,bace_classification,classification,0.711413,,5.954237,-6,0,0.7265228033065796,3,6
ChemBerta_Medium_10m,0.0,bace_classification,classification,0.800181,,2.311345,-11,1,0.6533890962600708,0,5
ChemBerta_Medium_10m,0.0,bace_classification,classification,0.816848,,1.04722,-12,2,0.6672162413597107,1,1
ChemBerta_Medium_10m,0.0,bace_classification,classification,0.808152,,5.452632,-12,3,0.7017880082130432,2,4
ChemBerta_Medium_10m,0.0,bace_classification,classification,0.822645,,3.331816,-13,4,0.7398023009300232,4,0
ChemBerta_Medium_10m,0.0,bace_classification,classification,0.810507,,3.515082,-12,5,0.7474356889724731,5,2
ChemBerta_Medium_10m,0.0,bace_classification,classification,0.80942,,4.307707,-12,6,0.7486955523490906,6,3
ChemBerta_Medium_10m,0.0,bace_regression,regression,0.949778,0.756431,2.57909,-25,0,0.5543338060379028,5,6
ChemBerta_Medium_10m,0.0,bace_regression,regression,0.924838,0.773382,2.114624,-25,1,0.5416904091835022,4,5
ChemBerta_Medium_10m,0.0,bace_regression,regression,0.887596,0.729463,3.387996,-28,2,0.5266647338867188,3,3
ChemBerta_Medium_10m,0.0,bace_regression,regression,0.91922,0.744799,4.515888,-28,3,0.5952569246292114,6,4
ChemBerta_Medium_10m,0.0,bace_regression,regression,0.760039,0.609724,1.720438,-28,4,0.4648153185844421,0,0
ChemBerta_Medium_10m,0.0,bace_regression,regression,0.840444,0.672992,7.971856,-27,5,0.4870559871196747,2,2
ChemBerta_Medium_10m,0.0,bace_regression,regression,0.809247,0.644627,2.418605,-27,6,0.4700703024864197,1,1
ChemBerta_Medium_10m,0.0,delaney,regression,0.871519,0.678819,3.613193,-30,0,0.6114993095397949,6,6
ChemBerta_Medium_10m,0.0,delaney,regression,0.487127,0.388644,3.163395,-36,1,0.4357835352420807,4,3
ChemBerta_Medium_10m,0.0,delaney,regression,0.490522,0.374011,3.52224,-37,2,0.4646238386631012,5,4
ChemBerta_Medium_10m,0.0,delaney,regression,0.539674,0.411159,3.325425,-34,3,0.4082180559635162,3,5
ChemBerta_Medium_10m,0.0,delaney,regression,0.460941,0.364698,6.301574,-37,4,0.3965510427951813,1,0
ChemBerta_Medium_10m,0.0,delaney,regression,0.468976,0.376057,2.994151,-37,5,0.3985882103443146,2,1
ChemBerta_Medium_10m,0.0,delaney,regression,0.471865,0.378046,6.593348,-37,6,0.395359069108963,0,2
