model_mtr_name,model_mtr_ep,dataset_name,dataset_type,metric_1,metric_2,p_value_mantissa,p_value_exponent,epoch,loss,loss_ranking,metric_1_ranking
ChemLlama_Small_10m,0.0,bace_classification,classification,0.775725,,1.336221,-9,0,0.6821803450584412,0,6
ChemLlama_Small_10m,0.0,bace_classification,classification,0.783152,,4.12492,-10,1,0.8306691646575928,6,5
ChemLlama_Small_10m,0.0,bace_classification,classification,0.80163,,1.785898,-11,2,0.7283816337585449,4,3
ChemLlama_Small_10m,0.0,bace_classification,classification,0.788406,,1.744452,-10,3,0.6874445080757141,1,4
ChemLlama_Small_10m,0.0,bace_classification,classification,0.817935,,8.472397,-13,4,0.6880942583084106,2,0
ChemLlama_Small_10m,0.0,bace_classification,classification,0.814493,,1.650204,-12,5,0.7291568517684937,5,1
ChemLlama_Small_10m,0.0,bace_classification,classification,0.810688,,3.397545,-12,6,0.7224109172821045,3,2
ChemLlama_Small_10m,0.0,bace_regression,regression,1.408067,1.168731,3.120966,-13,0,0.6211197972297668,6,6
ChemLlama_Small_10m,0.0,bace_regression,regression,1.007197,0.794184,1.036564,-22,1,0.5393468141555786,5,4
ChemLlama_Small_10m,0.0,bace_regression,regression,0.917064,0.74265,1.695538,-29,2,0.4947187006473541,4,1
ChemLlama_Small_10m,0.0,bace_regression,regression,1.035461,0.832939,3.03493,-22,3,0.4908094108104706,3,5
ChemLlama_Small_10m,0.0,bace_regression,regression,0.86758,0.682802,8.64416,-25,4,0.4458949565887451,0,0
ChemLlama_Small_10m,0.0,bace_regression,regression,0.950188,0.732626,5.507434,-23,5,0.4590178728103637,2,3
ChemLlama_Small_10m,0.0,bace_regression,regression,0.936892,0.721999,1.685886,-23,6,0.458698958158493,1,2
ChemLlama_Small_10m,0.0,delaney,regression,0.726538,0.579095,7.151068,-33,0,0.5670831799507141,6,6
ChemLlama_Small_10m,0.0,delaney,regression,0.477161,0.39835,6.323562,-37,1,0.4485363364219665,5,5
ChemLlama_Small_10m,0.0,delaney,regression,0.45062,0.360855,2.401524,-39,2,0.4120770394802093,3,3
ChemLlama_Small_10m,0.0,delaney,regression,0.432875,0.349007,3.259187,-37,3,0.4064610600471496,2,1
ChemLlama_Small_10m,0.0,delaney,regression,0.454941,0.359449,2.535054,-40,4,0.4204744398593902,4,4
ChemLlama_Small_10m,0.0,delaney,regression,0.434696,0.358039,5.576123,-41,5,0.4036488234996795,1,2
ChemLlama_Small_10m,0.0,delaney,regression,0.427257,0.351542,1.178593,-40,6,0.4024077951908111,0,0
ChemLlama_Small_10m,0.0,hiv,classification,0.569072,,0.007252,,0,0.0939195081591606,5,6
ChemLlama_Small_10m,0.0,hiv,classification,0.755146,,1.981917,-23,1,0.0820363983511924,3,5
ChemLlama_Small_10m,0.0,hiv,classification,0.763589,,6.466882,-25,2,0.1060942560434341,6,4
ChemLlama_Small_10m,0.0,hiv,classification,0.774362,,6.943244,-27,3,0.085267074406147,4,3
ChemLlama_Small_10m,0.0,hiv,classification,0.783393,,1.341624,-28,4,0.0816809087991714,2,2
ChemLlama_Small_10m,0.0,hiv,classification,0.795172,,6.380365,-31,5,0.0808131620287895,0,0
ChemLlama_Small_10m,0.0,hiv,classification,0.792765,,1.938406,-30,6,0.0810393095016479,1,1
ChemLlama_Small_10m,0.0,lipo,regression,0.806898,0.642821,1.098418,-27,0,0.6718441843986511,6,5
ChemLlama_Small_10m,0.0,lipo,regression,0.789801,0.644174,1.940762,-28,1,0.6639470458030701,5,4
ChemLlama_Small_10m,0.0,lipo,regression,0.816464,0.642486,1.370089,-33,2,0.6161470413208008,4,6
ChemLlama_Small_10m,0.0,lipo,regression,0.783328,0.606201,2.17122,-38,3,0.5915601253509521,3,3
ChemLlama_Small_10m,0.0,lipo,regression,0.734924,0.573358,1.88612,-40,4,0.5596205592155457,2,2
ChemLlama_Small_10m,0.0,lipo,regression,0.730722,0.57032,7.168524,-44,5,0.5551539659500122,1,1
ChemLlama_Small_10m,0.0,lipo,regression,0.727075,0.565624,4.761937,-44,6,0.5531152486801147,0,0
ChemLlama_Small_10m,0.0,tox21_sr_p53,classification,0.733048,,1.179644,-7,0,0.183488979935646,6,6
ChemLlama_Small_10m,0.0,tox21_sr_p53,classification,0.767028,,1.155791,-9,1,0.1819420158863067,5,4
ChemLlama_Small_10m,0.0,tox21_sr_p53,classification,0.759901,,3.218029,-9,2,0.1755696386098861,4,5
ChemLlama_Small_10m,0.0,tox21_sr_p53,classification,0.790092,,3.440465,-11,3,0.1622370034456253,0,1
ChemLlama_Small_10m,0.0,tox21_sr_p53,classification,0.797519,,1.038363,-11,4,0.1659337133169174,1,0
ChemLlama_Small_10m,0.0,tox21_sr_p53,classification,0.781522,,1.316466,-10,5,0.168358564376831,3,2
ChemLlama_Small_10m,0.0,tox21_sr_p53,classification,0.778244,,2.174608,-10,6,0.1673563569784164,2,3
ChemLlama_Small_10m,1.0,bace_classification,classification,0.719203,,2.506698,-6,0,0.7840626835823059,2,6
ChemLlama_Small_10m,1.0,bace_classification,classification,0.80779,,5.830695,-12,1,0.7188659310340881,0,0
ChemLlama_Small_10m,1.0,bace_classification,classification,0.783333,,4.005945,-10,2,0.751987099647522,1,4
ChemLlama_Small_10m,1.0,bace_classification,classification,0.774819,,1.537189,-9,3,0.7845483422279358,3,5
ChemLlama_Small_10m,1.0,bace_classification,classification,0.784058,,3.562354,-10,4,0.8496295809745789,4,3
ChemLlama_Small_10m,1.0,bace_classification,classification,0.793116,,7.894427,-11,5,0.873744547367096,5,2
ChemLlama_Small_10m,1.0,bace_classification,classification,0.797464,,3.728126,-11,6,0.8767175674438477,6,1
ChemLlama_Small_10m,1.0,bace_regression,regression,0.907178,0.758205,3.467638,-25,0,0.3650571703910827,0,3
ChemLlama_Small_10m,1.0,bace_regression,regression,1.087297,0.920412,4.013183,-24,1,0.589760959148407,6,6
ChemLlama_Small_10m,1.0,bace_regression,regression,0.88593,0.72568,1.375752,-20,2,0.4008774161338806,1,1
ChemLlama_Small_10m,1.0,bace_regression,regression,0.795696,0.660367,1.502163,-26,3,0.4283390045166015,2,0
ChemLlama_Small_10m,1.0,bace_regression,regression,0.895552,0.724111,4.435033,-24,4,0.4974327385425567,3,2
ChemLlama_Small_10m,1.0,bace_regression,regression,0.916336,0.744212,1.845744,-24,5,0.507400393486023,5,4
ChemLlama_Small_10m,1.0,bace_regression,regression,0.920914,0.746074,3.144187,-24,6,0.5073633193969727,4,5
ChemLlama_Small_10m,1.0,delaney,regression,0.715222,0.578791,1.193908,-26,0,0.5363886952400208,6,6
ChemLlama_Small_10m,1.0,delaney,regression,0.475857,0.382818,1.993567,-35,1,0.45479416847229,5,2
ChemLlama_Small_10m,1.0,delaney,regression,0.500786,0.394508,2.657094,-33,2,0.4386557042598724,1,5
ChemLlama_Small_10m,1.0,delaney,regression,0.477799,0.377935,1.759915,-36,3,0.4356995224952698,0,3
ChemLlama_Small_10m,1.0,delaney,regression,0.48748,0.394854,3.429565,-36,4,0.4539668560028076,4,4
ChemLlama_Small_10m,1.0,delaney,regression,0.469125,0.378373,4.48506,-36,5,0.4482662379741668,3,0
ChemLlama_Small_10m,1.0,delaney,regression,0.471624,0.381167,3.372364,-36,6,0.4404370486736297,2,1
ChemLlama_Small_10m,1.0,hiv,classification,0.661627,,3.067958,-10,0,0.0931451842188835,5,5
ChemLlama_Small_10m,1.0,hiv,classification,0.611563,,1.425975,-5,1,0.101058043539524,6,6
ChemLlama_Small_10m,1.0,hiv,classification,0.744564,,1.229024,-21,2,0.0919011682271957,4,4
ChemLlama_Small_10m,1.0,hiv,classification,0.788451,,1.387827,-29,3,0.0850269123911857,2,2
ChemLlama_Small_10m,1.0,hiv,classification,0.780923,,4.001141,-28,4,0.0890241861343383,3,3
ChemLlama_Small_10m,1.0,hiv,classification,0.791688,,3.178511,-30,5,0.0825834274291992,0,1
ChemLlama_Small_10m,1.0,hiv,classification,0.793169,,1.609848,-30,6,0.0832341164350509,1,0
ChemLlama_Small_10m,1.0,lipo,regression,0.800141,0.635591,1.50063,-26,0,0.671696126461029,6,6
ChemLlama_Small_10m,1.0,lipo,regression,0.77687,0.621774,2.450232,-33,1,0.6024489402770996,5,5
ChemLlama_Small_10m,1.0,lipo,regression,0.750132,0.595035,1.256314,-35,2,0.6001782417297363,3,3
ChemLlama_Small_10m,1.0,lipo,regression,0.756217,0.600166,7.281088,-36,3,0.6001896858215332,4,4
ChemLlama_Small_10m,1.0,lipo,regression,0.730025,0.572488,7.956508,-43,4,0.5653048753738403,1,2
ChemLlama_Small_10m,1.0,lipo,regression,0.717296,0.559052,4.578223,-45,5,0.5673496723175049,2,1
ChemLlama_Small_10m,1.0,lipo,regression,0.716695,0.555869,5.591035,-46,6,0.5646952986717224,0,0
ChemLlama_Small_10m,1.0,tox21_sr_p53,classification,0.709472,,2.008837,-6,0,0.1826855689287185,6,6
ChemLlama_Small_10m,1.0,tox21_sr_p53,classification,0.759029,,3.640366,-9,1,0.175374761223793,5,5
ChemLlama_Small_10m,1.0,tox21_sr_p53,classification,0.797008,,1.128786,-11,2,0.1666147112846374,3,1
ChemLlama_Small_10m,1.0,tox21_sr_p53,classification,0.770816,,6.627065,-10,3,0.1689899712800979,4,4
ChemLlama_Small_10m,1.0,tox21_sr_p53,classification,0.797579,,1.028202,-11,4,0.1640776246786117,1,0
ChemLlama_Small_10m,1.0,tox21_sr_p53,classification,0.779146,,1.895218,-10,5,0.1631129086017608,0,3
ChemLlama_Small_10m,1.0,tox21_sr_p53,classification,0.781852,,1.251013,-10,6,0.1641717106103897,2,2
ChemLlama_Small_10m,2.0,bace_classification,classification,0.66413,,0.000527,,0,0.7848309874534607,1,6
ChemLlama_Small_10m,2.0,bace_classification,classification,0.797464,,3.728126,-11,1,0.8243903517723083,4,0
ChemLlama_Small_10m,2.0,bace_classification,classification,0.789855,,1.369783,-10,2,0.7015784978866577,0,1
ChemLlama_Small_10m,2.0,bace_classification,classification,0.765942,,5.853465,-9,3,0.8076232671737671,2,5
ChemLlama_Small_10m,2.0,bace_classification,classification,0.783514,,3.890289,-10,4,0.8168949484825134,3,3
ChemLlama_Small_10m,2.0,bace_classification,classification,0.781341,,5.518637,-10,5,0.8542653322219849,5,4
ChemLlama_Small_10m,2.0,bace_classification,classification,0.783696,,3.777863,-10,6,0.8661016225814819,6,2
ChemLlama_Small_10m,2.0,bace_regression,regression,0.957277,0.81239,3.173994,-24,0,0.4970726370811462,4,1
ChemLlama_Small_10m,2.0,bace_regression,regression,1.003428,0.844181,4.839037,-23,1,0.5253594517707825,6,3
ChemLlama_Small_10m,2.0,bace_regression,regression,1.091809,0.842334,7.500037,-17,2,0.4761196970939636,2,6
ChemLlama_Small_10m,2.0,bace_regression,regression,1.016449,0.802048,6.320156,-22,3,0.4619329571723938,1,4
ChemLlama_Small_10m,2.0,bace_regression,regression,0.776785,0.638946,4.762024,-27,4,0.3927091658115387,0,0
ChemLlama_Small_10m,2.0,bace_regression,regression,0.997896,0.781928,6.544443,-22,5,0.4949414730072021,3,2
ChemLlama_Small_10m,2.0,bace_regression,regression,1.036292,0.806723,7.694619,-21,6,0.5012430548667908,5,5
ChemLlama_Small_10m,2.0,delaney,regression,0.821162,0.646623,4.631288,-27,0,0.6108770966529846,6,6
ChemLlama_Small_10m,2.0,delaney,regression,0.733364,0.576885,1.626017,-33,1,0.5997054576873779,5,5
ChemLlama_Small_10m,2.0,delaney,regression,0.593357,0.479686,4.657559,-33,2,0.5191754102706909,4,4
ChemLlama_Small_10m,2.0,delaney,regression,0.475504,0.378658,4.649033,-34,3,0.3961033225059509,2,3
ChemLlama_Small_10m,2.0,delaney,regression,0.458706,0.362524,2.658171,-35,4,0.3871528804302215,0,0
ChemLlama_Small_10m,2.0,delaney,regression,0.474592,0.373812,4.500086,-36,5,0.3949078321456909,1,2
ChemLlama_Small_10m,2.0,delaney,regression,0.461359,0.363866,2.690329,-36,6,0.3965839147567749,3,1
ChemLlama_Small_10m,2.0,hiv,classification,0.708671,,3.927817,-16,0,0.100045122206211,5,6
ChemLlama_Small_10m,2.0,hiv,classification,0.769389,,5.764307,-26,1,0.1077671721577644,6,2
ChemLlama_Small_10m,2.0,hiv,classification,0.765579,,2.839481,-25,2,0.0883809402585029,4,3
ChemLlama_Small_10m,2.0,hiv,classification,0.729647,,3.052534,-19,3,0.0814261958003044,2,5
ChemLlama_Small_10m,2.0,hiv,classification,0.764634,,4.200398,-25,4,0.0810218825936317,1,4
ChemLlama_Small_10m,2.0,hiv,classification,0.786914,,2.777976,-29,5,0.0809799805283546,0,0
ChemLlama_Small_10m,2.0,hiv,classification,0.785508,,5.222742,-29,6,0.0830458104610443,3,1
ChemLlama_Small_10m,2.0,lipo,regression,0.822984,0.647106,2.255209,-24,0,0.6777708530426025,6,6
ChemLlama_Small_10m,2.0,lipo,regression,0.798073,0.64131,3.483875,-25,1,0.635758638381958,5,5
ChemLlama_Small_10m,2.0,lipo,regression,0.772649,0.61297,4.678805,-34,2,0.6044908165931702,4,3
ChemLlama_Small_10m,2.0,lipo,regression,0.777337,0.624113,8.729413,-37,3,0.5820865035057068,3,4
ChemLlama_Small_10m,2.0,lipo,regression,0.768206,0.613476,2.672942,-35,4,0.5508370399475098,2,2
ChemLlama_Small_10m,2.0,lipo,regression,0.76181,0.607518,2.61567,-36,5,0.5454723834991455,0,0
ChemLlama_Small_10m,2.0,lipo,regression,0.763223,0.609201,4.871997,-36,6,0.5483121871948242,1,1
ChemLlama_Small_10m,2.0,tox21_sr_p53,classification,0.664487,,0.000198,,0,0.1826263219118118,6,6
ChemLlama_Small_10m,2.0,tox21_sr_p53,classification,0.745046,,2.480035,-8,1,0.1735014170408249,2,5
ChemLlama_Small_10m,2.0,tox21_sr_p53,classification,0.794151,,1.794802,-11,2,0.1689417511224746,0,0
ChemLlama_Small_10m,2.0,tox21_sr_p53,classification,0.78513,,7.521401,-11,3,0.1753123551607132,4,4
ChemLlama_Small_10m,2.0,tox21_sr_p53,classification,0.78937,,3.858474,-11,4,0.1731628030538559,1,3
ChemLlama_Small_10m,2.0,tox21_sr_p53,classification,0.79346,,2.006605,-11,5,0.1751915514469146,3,1
ChemLlama_Small_10m,2.0,tox21_sr_p53,classification,0.78946,,3.803628,-11,6,0.1823683679103851,5,2
ChemLlama_Small_10m,3.0,bace_classification,classification,0.721196,,1.996603,-6,0,0.7629378437995911,2,6
ChemLlama_Small_10m,3.0,bace_classification,classification,0.780978,,5.847437,-10,1,0.6963030099868774,0,4
ChemLlama_Small_10m,3.0,bace_classification,classification,0.780435,,6.376364,-10,2,0.7101925611495972,1,5
ChemLlama_Small_10m,3.0,bace_classification,classification,0.796377,,4.504823,-11,3,0.8275076746940613,3,0
ChemLlama_Small_10m,3.0,bace_classification,classification,0.792391,,8.930485,-11,4,0.8728153705596924,6,3
ChemLlama_Small_10m,3.0,bace_classification,classification,0.79529,,5.437212,-11,5,0.8653832077980042,4,1
ChemLlama_Small_10m,3.0,bace_classification,classification,0.794565,,6.159879,-11,6,0.8674476146697998,5,2
ChemLlama_Small_10m,3.0,bace_regression,regression,0.845648,0.686026,7.491262,-25,0,0.4313789010047912,0,1
ChemLlama_Small_10m,3.0,bace_regression,regression,0.903494,0.742184,2.242976,-26,1,0.484722226858139,2,2
ChemLlama_Small_10m,3.0,bace_regression,regression,0.739574,0.600464,3.295573,-27,2,0.4498012661933899,1,0
ChemLlama_Small_10m,3.0,bace_regression,regression,1.093446,0.839602,2.749703,-18,3,0.5557621121406555,6,5
ChemLlama_Small_10m,3.0,bace_regression,regression,1.093894,0.817646,3.218262,-18,4,0.5530259013175964,5,6
ChemLlama_Small_10m,3.0,bace_regression,regression,1.008242,0.770953,1.303285,-20,5,0.5477861166000366,4,4
ChemLlama_Small_10m,3.0,bace_regression,regression,0.936426,0.708291,1.194318,-21,6,0.512537956237793,3,3
ChemLlama_Small_10m,3.0,delaney,regression,0.8383,0.637189,5.208359,-29,0,0.5396549701690674,6,6
ChemLlama_Small_10m,3.0,delaney,regression,0.433865,0.350671,2.769817,-37,1,0.4052851498126983,3,0
ChemLlama_Small_10m,3.0,delaney,regression,0.473428,0.363586,7.291974,-34,2,0.4394989609718323,5,4
ChemLlama_Small_10m,3.0,delaney,regression,0.559676,0.442465,6.76356,-34,3,0.4339463710784912,4,5
ChemLlama_Small_10m,3.0,delaney,regression,0.445994,0.352485,2.122215,-36,4,0.4014564752578735,2,3
ChemLlama_Small_10m,3.0,delaney,regression,0.441168,0.354374,1.556351,-36,5,0.3966919183731079,1,1
ChemLlama_Small_10m,3.0,delaney,regression,0.444941,0.357945,1.315913,-36,6,0.3930678367614746,0,2
ChemLlama_Small_10m,3.0,hiv,classification,0.743095,,2.149654,-21,0,0.1069230362772941,6,4
ChemLlama_Small_10m,3.0,hiv,classification,0.74018,,6.447776,-21,1,0.1064992100000381,5,6
ChemLlama_Small_10m,3.0,hiv,classification,0.740693,,5.3199,-21,2,0.0824334397912025,0,5
ChemLlama_Small_10m,3.0,hiv,classification,0.776981,,2.241252,-27,3,0.0862557366490364,3,3
ChemLlama_Small_10m,3.0,hiv,classification,0.783735,,1.152434,-28,4,0.0853312313556671,1,2
ChemLlama_Small_10m,3.0,hiv,classification,0.796317,,3.747198,-31,5,0.0854572430253028,2,0
ChemLlama_Small_10m,3.0,hiv,classification,0.793519,,1.370367,-30,6,0.0863083153963089,4,1
ChemLlama_Small_10m,3.0,lipo,regression,0.843464,0.687633,4.160181,-15,0,0.7123088836669922,6,6
ChemLlama_Small_10m,3.0,lipo,regression,0.806408,0.647638,1.638494,-25,1,0.6567503213882446,5,5
ChemLlama_Small_10m,3.0,lipo,regression,0.770848,0.61163,1.794587,-35,2,0.5970929265022278,4,4
ChemLlama_Small_10m,3.0,lipo,regression,0.76352,0.594133,4.598794,-35,3,0.591494083404541,3,3
ChemLlama_Small_10m,3.0,lipo,regression,0.759073,0.60332,2.577282,-38,4,0.5742750763893127,2,2
ChemLlama_Small_10m,3.0,lipo,regression,0.745737,0.586641,1.672505,-40,5,0.559095561504364,0,0
ChemLlama_Small_10m,3.0,lipo,regression,0.752721,0.588278,1.189098,-39,6,0.5619897842407227,1,1
ChemLlama_Small_10m,3.0,tox21_sr_p53,classification,0.717501,,7.912647,-7,0,0.1805343329906463,6,6
ChemLlama_Small_10m,3.0,tox21_sr_p53,classification,0.771298,,6.171507,-10,1,0.1736944019794464,5,5
ChemLlama_Small_10m,3.0,tox21_sr_p53,classification,0.785852,,6.718621,-11,2,0.1659856587648391,0,0
ChemLlama_Small_10m,3.0,tox21_sr_p53,classification,0.774605,,3.768608,-10,3,0.1728589087724685,4,4
ChemLlama_Small_10m,3.0,tox21_sr_p53,classification,0.777101,,2.586631,-10,4,0.1676749289035797,1,3
ChemLlama_Small_10m,3.0,tox21_sr_p53,classification,0.778725,,2.020947,-10,5,0.1679810434579849,2,2
ChemLlama_Small_10m,3.0,tox21_sr_p53,classification,0.779717,,1.736718,-10,6,0.1698867380619049,3,1
ChemLlama_Small_10m,4.0,bace_classification,classification,0.79221,,9.209381,-11,0,0.6936730742454529,1,4
ChemLlama_Small_10m,4.0,bace_classification,classification,0.794928,,5.787635,-11,1,0.6800968647003174,0,3
ChemLlama_Small_10m,4.0,bace_classification,classification,0.781341,,5.518637,-10,2,0.7703829407691956,3,6
ChemLlama_Small_10m,4.0,bace_classification,classification,0.805797,,8.41028,-12,3,0.7245689630508423,2,0
ChemLlama_Small_10m,4.0,bace_classification,classification,0.78587,,2.651136,-10,4,0.7940078973770142,6,5
ChemLlama_Small_10m,4.0,bace_classification,classification,0.798188,,3.284175,-11,5,0.7705302834510803,4,2
ChemLlama_Small_10m,4.0,bace_classification,classification,0.798913,,2.891628,-11,6,0.779425323009491,5,1
ChemLlama_Small_10m,4.0,bace_regression,regression,0.857134,0.695366,5.631212,-24,0,0.4212650954723358,1,2
ChemLlama_Small_10m,4.0,bace_regression,regression,0.759285,0.631213,5.403367,-26,1,0.3606158494949341,0,0
ChemLlama_Small_10m,4.0,bace_regression,regression,0.885168,0.705247,4.057195,-25,2,0.4504078328609466,2,3
