model_mtr_name,model_mtr_ep,dataset_name,dataset_type,metric_1,metric_2,p_value_mantissa,p_value_exponent,epoch,loss,loss_ranking,metric_1_ranking
ChemBart_Small_20m,0.0,bace_classification,classification,0.80471,,1.025303,-11,0,0.6801495552062988,1,5
ChemBart_Small_20m,0.0,bace_classification,classification,0.777355,,1.036549,-9,1,0.7091799974441528,5,6
ChemBart_Small_20m,0.0,bace_classification,classification,0.824275,,2.398089,-13,2,0.6580419540405273,0,1
ChemBart_Small_20m,0.0,bace_classification,classification,0.819746,,5.934366,-13,3,0.7280104756355286,6,3
ChemBart_Small_20m,0.0,bace_classification,classification,0.826268,,1.597813,-13,4,0.7061699032783508,4,0
ChemBart_Small_20m,0.0,bace_classification,classification,0.820652,,4.959859,-13,5,0.692567765712738,2,2
ChemBart_Small_20m,0.0,bace_classification,classification,0.809058,,4.608559,-12,6,0.6972405314445496,3,4
ChemBart_Small_20m,0.0,bace_regression,regression,1.086535,0.924045,2.094493,-25,0,0.385066419839859,0,6
ChemBart_Small_20m,0.0,bace_regression,regression,0.898374,0.73832,2.190731,-26,1,0.512968122959137,6,4
ChemBart_Small_20m,0.0,bace_regression,regression,1.018778,0.844594,8.31642,-24,2,0.4380678534507751,5,5
ChemBart_Small_20m,0.0,bace_regression,regression,0.883404,0.720156,2.428286,-25,3,0.3958156704902649,1,3
ChemBart_Small_20m,0.0,bace_regression,regression,0.778954,0.619989,1.514911,-26,4,0.4199890196323395,2,0
ChemBart_Small_20m,0.0,bace_regression,regression,0.807285,0.665334,7.291595,-28,5,0.4306381940841675,4,1
ChemBart_Small_20m,0.0,bace_regression,regression,0.826739,0.684183,9.434578,-29,6,0.4250011444091797,3,2
ChemBart_Small_20m,0.0,delaney,regression,0.765526,0.599189,1.089539,-29,0,0.57140052318573,6,6
ChemBart_Small_20m,0.0,delaney,regression,0.653232,0.493231,5.306849,-31,1,0.5415879487991333,5,5
