model_mtr_name,model_mtr_ep,dataset_name,dataset_type,metric_1,metric_2,p_value_mantissa,p_value_exponent,epoch,loss,loss_ranking,metric_1_ranking
ChemBerta_Medium_20m,0.0,bace_classification,classification,0.783877,,3.66858,-10,0,0.6654648184776306,0,4
ChemBerta_Medium_20m,0.0,bace_classification,classification,0.755797,,2.497517,-8,1,0.7050512433052063,2,6
ChemBerta_Medium_20m,0.0,bace_classification,classification,0.802536,,1.518437,-11,2,0.6935018301010132,1,1
ChemBerta_Medium_20m,0.0,bace_classification,classification,0.807609,,6.029142,-12,3,0.7356917262077332,3,0
ChemBerta_Medium_20m,0.0,bace_classification,classification,0.781884,,5.05869,-10,4,0.7528089284896851,4,5
ChemBerta_Medium_20m,0.0,bace_classification,classification,0.79221,,9.209381,-11,5,0.7739413380622864,6,2
ChemBerta_Medium_20m,0.0,bace_classification,classification,0.790942,,1.141166,-10,6,0.7604821920394897,5,3
ChemBerta_Medium_20m,0.0,bace_regression,regression,1.169622,1.005738,7.780165,-18,0,0.4826554954051971,4,6
ChemBerta_Medium_20m,0.0,bace_regression,regression,0.840825,0.697956,1.718261,-24,1,0.4331216514110565,1,0
ChemBerta_Medium_20m,0.0,bace_regression,regression,1.076132,0.791289,6.37811,-22,2,0.4510011970996856,2,5
ChemBerta_Medium_20m,0.0,bace_regression,regression,0.899936,0.732112,1.053172,-20,3,0.4251362979412079,0,2
ChemBerta_Medium_20m,0.0,bace_regression,regression,0.897978,0.719486,2.013629,-23,4,0.4760827124118805,3,1
ChemBerta_Medium_20m,0.0,bace_regression,regression,0.972736,0.751433,4.527163,-21,5,0.5015977025032043,6,4
ChemBerta_Medium_20m,0.0,bace_regression,regression,0.935821,0.723726,1.049574,-21,6,0.4907232522964477,5,3
ChemBerta_Medium_20m,0.0,delaney,regression,0.595565,0.472766,1.905375,-29,0,0.5233443975448608,6,5
ChemBerta_Medium_20m,0.0,delaney,regression,0.603972,0.464984,9.949307,-27,1,0.4535310566425323,4,6
ChemBerta_Medium_20m,0.0,delaney,regression,0.463709,0.379407,2.981047,-38,2,0.4465683996677398,3,2
ChemBerta_Medium_20m,0.0,delaney,regression,0.513796,0.418129,1.58318,-36,3,0.4546959102153778,5,4
ChemBerta_Medium_20m,0.0,delaney,regression,0.474969,0.374421,2.957131,-36,4,0.4012357294559479,0,3
ChemBerta_Medium_20m,0.0,delaney,regression,0.453853,0.370111,5.957003,-38,5,0.4016450047492981,2,1
ChemBerta_Medium_20m,0.0,delaney,regression,0.451168,0.368257,3.151481,-38,6,0.4015370607376098,1,0
ChemBerta_Medium_20m,0.0,hiv,classification,0.632399,,2.566382,-7,0,0.0958469063043594,6,6
ChemBerta_Medium_20m,0.0,hiv,classification,0.710605,,2.089276,-16,1,0.0882764160633087,5,5
ChemBerta_Medium_20m,0.0,hiv,classification,0.743112,,2.13553,-21,2,0.0841093957424163,4,4
ChemBerta_Medium_20m,0.0,hiv,classification,0.77453,,6.459536,-27,3,0.0837342590093612,3,2
ChemBerta_Medium_20m,0.0,hiv,classification,0.760536,,2.259266,-24,4,0.0821831673383712,2,3
ChemBerta_Medium_20m,0.0,hiv,classification,0.785481,,5.286366,-29,5,0.0817996114492416,1,0
ChemBerta_Medium_20m,0.0,hiv,classification,0.779754,,6.685735,-28,6,0.0800677686929702,0,1
ChemBerta_Medium_20m,0.0,lipo,regression,0.79876,0.638772,2.305891,-27,0,0.6552135944366455,6,6
ChemBerta_Medium_20m,0.0,lipo,regression,0.756918,0.598942,1.739766,-34,1,0.6071503162384033,5,4
ChemBerta_Medium_20m,0.0,lipo,regression,0.760482,0.595924,4.457703,-40,2,0.5822586417198181,4,5
ChemBerta_Medium_20m,0.0,lipo,regression,0.734633,0.560445,4.971084,-42,3,0.5780578851699829,3,3
ChemBerta_Medium_20m,0.0,lipo,regression,0.719382,0.558836,2.036978,-43,4,0.5531406402587891,2,0
ChemBerta_Medium_20m,0.0,lipo,regression,0.726218,0.563799,1.68356,-44,5,0.5467996597290039,1,2
ChemBerta_Medium_20m,0.0,lipo,regression,0.725043,0.560173,4.236579,-45,6,0.5464360117912292,0,1
ChemBerta_Medium_20m,0.0,tox21_sr_p53,classification,0.742851,,3.318659,-8,0,0.2006173580884933,6,6
ChemBerta_Medium_20m,0.0,tox21_sr_p53,classification,0.749436,,1.373875,-8,1,0.1738081276416778,2,5
ChemBerta_Medium_20m,0.0,tox21_sr_p53,classification,0.772921,,4.848144,-10,2,0.1747711896896362,3,3
ChemBerta_Medium_20m,0.0,tox21_sr_p53,classification,0.760953,,2.771437,-9,3,0.1689890623092651,1,4
ChemBerta_Medium_20m,0.0,tox21_sr_p53,classification,0.777011,,2.622222,-10,4,0.1667222827672958,0,2
ChemBerta_Medium_20m,0.0,tox21_sr_p53,classification,0.784889,,7.809242,-11,5,0.179088294506073,4,0
ChemBerta_Medium_20m,0.0,tox21_sr_p53,classification,0.782905,,1.063181,-10,6,0.1823281496763229,5,1
ChemBerta_Medium_20m,1.0,bace_classification,classification,0.752717,,3.819208,-8,0,0.7498307824134827,3,5
ChemBerta_Medium_20m,1.0,bace_classification,classification,0.750181,,5.389708,-8,1,0.7596811652183533,4,6
ChemBerta_Medium_20m,1.0,bace_classification,classification,0.798913,,2.891628,-11,2,0.733604907989502,0,1
ChemBerta_Medium_20m,1.0,bace_classification,classification,0.780616,,6.195119,-10,3,0.7431380152702332,2,4
ChemBerta_Medium_20m,1.0,bace_classification,classification,0.801812,,1.728991,-11,4,0.7428843379020691,1,0
ChemBerta_Medium_20m,1.0,bace_classification,classification,0.792391,,8.930485,-11,5,0.8184511661529541,6,3
ChemBerta_Medium_20m,1.0,bace_classification,classification,0.794022,,6.762046,-11,6,0.805455207824707,5,2
ChemBerta_Medium_20m,1.0,bace_regression,regression,1.071535,0.791818,7.705132,-22,0,0.5926366448402405,6,6
ChemBerta_Medium_20m,1.0,bace_regression,regression,0.95436,0.779574,9.505882,-24,1,0.4467662274837494,0,4
ChemBerta_Medium_20m,1.0,bace_regression,regression,0.942682,0.731975,5.083351,-24,2,0.5431649684906006,5,3
ChemBerta_Medium_20m,1.0,bace_regression,regression,1.049225,0.807054,1.056352,-18,3,0.5023590326309204,4,5
ChemBerta_Medium_20m,1.0,bace_regression,regression,0.942283,0.72723,1.946478,-20,4,0.4603620171546936,1,2
ChemBerta_Medium_20m,1.0,bace_regression,regression,0.90659,0.723731,2.46503,-22,5,0.4873239994049072,2,0
ChemBerta_Medium_20m,1.0,bace_regression,regression,0.933356,0.737249,3.230298,-21,6,0.4874272644519806,3,1
ChemBerta_Medium_20m,1.0,delaney,regression,0.712532,0.550748,1.620978,-24,0,0.522750735282898,6,6
ChemBerta_Medium_20m,1.0,delaney,regression,0.592976,0.484865,9.723372,-34,1,0.5113320350646973,5,5
ChemBerta_Medium_20m,1.0,delaney,regression,0.472492,0.383268,6.149743,-37,2,0.4347220957279205,4,4
ChemBerta_Medium_20m,1.0,delaney,regression,0.451259,0.365884,1.09676,-36,3,0.4063695073127746,3,0
ChemBerta_Medium_20m,1.0,delaney,regression,0.46578,0.385532,5.10907,-36,4,0.3830540776252746,0,3
ChemBerta_Medium_20m,1.0,delaney,regression,0.455681,0.376532,2.920908,-37,5,0.393589586019516,2,2
ChemBerta_Medium_20m,1.0,delaney,regression,0.452762,0.374761,3.047566,-37,6,0.3920506238937378,1,1
ChemBerta_Medium_20m,1.0,hiv,classification,0.753209,,4.27615,-23,0,0.0905310958623886,5,5
ChemBerta_Medium_20m,1.0,hiv,classification,0.773433,,1.034164,-26,1,0.1122232228517532,6,3
ChemBerta_Medium_20m,1.0,hiv,classification,0.747405,,4.130165,-22,2,0.0881696715950965,4,6
ChemBerta_Medium_20m,1.0,hiv,classification,0.762709,,9.290938,-25,3,0.0863695070147514,3,4
ChemBerta_Medium_20m,1.0,hiv,classification,0.778236,,1.298292,-27,4,0.0842571705579757,1,2
ChemBerta_Medium_20m,1.0,hiv,classification,0.798165,,1.580162,-31,5,0.0841046348214149,0,0
ChemBerta_Medium_20m,1.0,hiv,classification,0.794328,,9.431408,-31,6,0.0846241638064384,2,1
ChemBerta_Medium_20m,1.0,lipo,regression,0.849326,0.689254,1.780083,-22,0,0.6868451833724976,6,6
ChemBerta_Medium_20m,1.0,lipo,regression,0.833729,0.654528,6.567053,-27,1,0.6381626129150391,5,5
