model_mtr_name,model_mtr_ep,dataset_name,dataset_type,metric_1,metric_2,p_value_mantissa,p_value_exponent,epoch,loss,loss_ranking,metric_1_ranking
ChemBart_Small_20m,0.0,bace_classification,classification,0.694384,,3.466457,-5,0,0.918196141719818,6,6
ChemBart_Small_20m,0.0,bace_classification,classification,0.815036,,1.486587,-12,1,0.7421123385429382,1,1
ChemBart_Small_20m,0.0,bace_classification,classification,0.817391,,9.420886,-13,2,0.6939294934272766,0,0
ChemBart_Small_20m,0.0,bace_classification,classification,0.804529,,1.059601,-11,3,0.7578431963920593,2,5
ChemBart_Small_20m,0.0,bace_classification,classification,0.805072,,9.599064,-12,4,0.7818478345870972,3,4
ChemBart_Small_20m,0.0,bace_classification,classification,0.81087,,3.283826,-12,5,0.7913082838058472,5,2
ChemBart_Small_20m,0.0,bace_classification,classification,0.809058,,4.608559,-12,6,0.7900728583335876,4,3
ChemBart_Small_20m,0.0,bace_regression,regression,1.037645,0.882717,9.852216,-22,0,0.4694622755050659,5,6
ChemBart_Small_20m,0.0,bace_regression,regression,0.926293,0.772707,4.468731,-24,1,0.4629867672920227,3,1
ChemBart_Small_20m,0.0,bace_regression,regression,0.774044,0.62557,3.562177,-27,2,0.4352212250232696,0,0
ChemBart_Small_20m,0.0,bace_regression,regression,0.959825,0.754492,2.717843,-22,3,0.4726394712924957,6,4
ChemBart_Small_20m,0.0,bace_regression,regression,0.94036,0.72866,2.549168,-22,4,0.4433434605598449,1,2
ChemBart_Small_20m,0.0,bace_regression,regression,0.958164,0.739645,1.029117,-21,5,0.4517351388931274,2,3
ChemBart_Small_20m,0.0,bace_regression,regression,0.961372,0.742903,3.138072,-22,6,0.4633881151676178,4,5
ChemBart_Small_20m,0.0,delaney,regression,0.782184,0.588624,1.465522,-28,0,0.5043058395385742,6,6
ChemBart_Small_20m,0.0,delaney,regression,0.478074,0.37746,9.077796,-35,1,0.4195145666599273,3,3
ChemBart_Small_20m,0.0,delaney,regression,0.496141,0.399048,8.149942,-38,2,0.4763287603855133,5,4
ChemBart_Small_20m,0.0,delaney,regression,0.502746,0.391324,1.836655,-34,3,0.3852365911006927,0,5
ChemBart_Small_20m,0.0,delaney,regression,0.47237,0.386085,1.42491,-39,4,0.4196276366710663,4,2
ChemBart_Small_20m,0.0,delaney,regression,0.450662,0.364742,5.17113,-39,5,0.3866624534130096,2,0
ChemBart_Small_20m,0.0,delaney,regression,0.451805,0.366263,1.694541,-39,6,0.3856058418750763,1,1
ChemBart_Small_20m,0.0,hiv,classification,0.670183,,3.350414,-11,0,0.0990618541836738,6,6
ChemBart_Small_20m,0.0,hiv,classification,0.753989,,3.139415,-23,1,0.0864147320389747,4,4
ChemBart_Small_20m,0.0,hiv,classification,0.749858,,1.594318,-22,2,0.0918247029185295,5,5
ChemBart_Small_20m,0.0,hiv,classification,0.776494,,2.767701,-27,3,0.0802999958395958,3,0
ChemBart_Small_20m,0.0,hiv,classification,0.767141,,1.480911,-25,4,0.0796991810202598,1,1
ChemBart_Small_20m,0.0,hiv,classification,0.756272,,1.26404,-23,5,0.0790546089410781,0,3
ChemBart_Small_20m,0.0,hiv,classification,0.760613,,2.189288,-24,6,0.0800919234752655,2,2
ChemBart_Small_20m,0.0,lipo,regression,0.823575,0.653562,6.249412,-24,0,0.7105533480644226,6,5
ChemBart_Small_20m,0.0,lipo,regression,0.824671,0.645047,1.573553,-28,1,0.6137685179710388,4,6
ChemBart_Small_20m,0.0,lipo,regression,0.782607,0.612676,2.147326,-32,2,0.6365712285041809,5,4
ChemBart_Small_20m,0.0,lipo,regression,0.760121,0.597466,8.538957,-35,3,0.5742895603179932,1,3
ChemBart_Small_20m,0.0,lipo,regression,0.745351,0.581098,8.279894,-40,4,0.5740808844566345,0,1
ChemBart_Small_20m,0.0,lipo,regression,0.744352,0.584228,2.663807,-39,5,0.5796793103218079,3,0
ChemBart_Small_20m,0.0,lipo,regression,0.747707,0.585495,1.456118,-38,6,0.5762726068496704,2,2
ChemBart_Small_20m,0.0,tox21_sr_p53,classification,0.711186,,1.651302,-6,0,0.1880832463502884,6,6
ChemBart_Small_20m,0.0,tox21_sr_p53,classification,0.777041,,2.610305,-10,1,0.173653557896614,1,5
ChemBart_Small_20m,0.0,tox21_sr_p53,classification,0.789069,,4.04693,-11,2,0.1739334911108017,2,2
ChemBart_Small_20m,0.0,tox21_sr_p53,classification,0.787716,,5.012281,-11,3,0.1699331551790237,0,3
ChemBart_Small_20m,0.0,tox21_sr_p53,classification,0.787175,,5.458441,-11,4,0.1765357553958892,3,4
ChemBart_Small_20m,0.0,tox21_sr_p53,classification,0.799143,,7.956357,-12,5,0.1849234849214553,5,0
ChemBart_Small_20m,0.0,tox21_sr_p53,classification,0.795895,,1.353018,-11,6,0.183122232556343,4,1
ChemBart_Small_20m,1.0,bace_classification,classification,0.773732,,1.816983,-9,0,0.742730975151062,3,6
ChemBart_Small_20m,1.0,bace_classification,classification,0.828442,,1.020666,-13,1,0.7022345662117004,0,1
ChemBart_Small_20m,1.0,bace_classification,classification,0.808333,,5.272629,-12,2,0.7168207764625549,1,5
ChemBart_Small_20m,1.0,bace_classification,classification,0.834601,,2.781059,-14,3,0.728776216506958,2,0
ChemBart_Small_20m,1.0,bace_classification,classification,0.816123,,1.205266,-12,4,0.8015254139900208,4,2
ChemBart_Small_20m,1.0,bace_classification,classification,0.815942,,1.248262,-12,5,0.813383936882019,5,3
ChemBart_Small_20m,1.0,bace_classification,classification,0.810326,,3.63656,-12,6,0.8173450827598572,6,4
ChemBart_Small_20m,1.0,bace_regression,regression,1.21743,1.042975,1.825394,-14,0,0.5017002820968628,5,6
ChemBart_Small_20m,1.0,bace_regression,regression,0.756632,0.629222,6.016024,-31,1,0.392035037279129,0,0
ChemBart_Small_20m,1.0,bace_regression,regression,0.9622,0.763825,2.396983,-25,2,0.4932638108730316,2,4
ChemBart_Small_20m,1.0,bace_regression,regression,0.879255,0.694058,1.109277,-27,3,0.4968093931674957,3,1
ChemBart_Small_20m,1.0,bace_regression,regression,0.891112,0.705162,1.887494,-24,4,0.4782831966876983,1,2
ChemBart_Small_20m,1.0,bace_regression,regression,0.973098,0.757039,2.003701,-22,5,0.5231360793113708,6,5
ChemBart_Small_20m,1.0,bace_regression,regression,0.951523,0.736705,4.330603,-22,6,0.4970115125179291,4,3
ChemBart_Small_20m,1.0,delaney,regression,0.595186,0.482927,4.13883,-36,0,0.6020771861076355,6,6
ChemBart_Small_20m,1.0,delaney,regression,0.474678,0.389127,1.228591,-36,1,0.4200949072837829,4,4
ChemBart_Small_20m,1.0,delaney,regression,0.4689,0.379464,1.899251,-38,2,0.4137849807739258,3,2
ChemBart_Small_20m,1.0,delaney,regression,0.44477,0.366342,3.963645,-39,3,0.4231502711772918,5,0
ChemBart_Small_20m,1.0,delaney,regression,0.461012,0.377566,4.021897,-38,4,0.3930865526199341,1,1
ChemBart_Small_20m,1.0,delaney,regression,0.47928,0.397782,1.577386,-37,5,0.394828736782074,2,5
ChemBart_Small_20m,1.0,delaney,regression,0.470736,0.389583,9.912524,-38,6,0.3925184309482574,0,3
ChemBart_Small_20m,1.0,hiv,classification,0.616142,,6.231312,-6,0,0.0970810502767562,5,6
ChemBart_Small_20m,1.0,hiv,classification,0.704902,,1.321509,-15,1,0.0962060987949371,4,5
ChemBart_Small_20m,1.0,hiv,classification,0.753641,,3.603256,-23,2,0.113010473549366,6,3
ChemBart_Small_20m,1.0,hiv,classification,0.770129,,4.218272,-26,3,0.0850667953491211,3,0
ChemBart_Small_20m,1.0,hiv,classification,0.742898,,2.316324,-21,4,0.0846850872039794,2,4
ChemBart_Small_20m,1.0,hiv,classification,0.766013,,2.370193,-25,5,0.0843885540962219,1,1
ChemBart_Small_20m,1.0,hiv,classification,0.764943,,3.695889,-25,6,0.084279716014862,0,2
ChemBart_Small_20m,1.0,lipo,regression,0.847588,0.677516,4.638187,-16,0,0.7088223695755005,6,6
ChemBart_Small_20m,1.0,lipo,regression,0.805515,0.657182,3.230016,-24,1,0.6571993827819824,5,5
ChemBart_Small_20m,1.0,lipo,regression,0.779669,0.613227,5.398852,-33,2,0.570941150188446,3,4
ChemBart_Small_20m,1.0,lipo,regression,0.774583,0.60643,7.331735,-34,3,0.572760283946991,4,3
ChemBart_Small_20m,1.0,lipo,regression,0.755825,0.592658,2.671338,-35,4,0.5524154901504517,2,2
ChemBart_Small_20m,1.0,lipo,regression,0.746948,0.584217,9.250571,-38,5,0.5442196130752563,0,1
ChemBart_Small_20m,1.0,lipo,regression,0.744361,0.581312,3.913941,-38,6,0.5450854301452637,1,0
ChemBart_Small_20m,1.0,tox21_sr_p53,classification,0.714644,,1.106659,-6,0,0.1773034036159515,5,6
ChemBart_Small_20m,1.0,tox21_sr_p53,classification,0.756743,,5.018909,-9,1,0.1738822013139724,2,5
ChemBart_Small_20m,1.0,tox21_sr_p53,classification,0.788017,,4.780014,-11,2,0.1785041391849517,6,4
ChemBart_Small_20m,1.0,tox21_sr_p53,classification,0.80224,,4.767152,-12,3,0.168475329875946,0,3
ChemBart_Small_20m,1.0,tox21_sr_p53,classification,0.803203,,4.061064,-12,4,0.1703553944826126,1,2
ChemBart_Small_20m,1.0,tox21_sr_p53,classification,0.804556,,3.2384,-12,5,0.1739716827869415,3,0
ChemBart_Small_20m,1.0,tox21_sr_p53,classification,0.804496,,3.271221,-12,6,0.1748256385326385,4,1
ChemBart_Small_20m,2.0,bace_classification,classification,0.764493,,7.237321,-9,0,0.7844488620758057,1,6
ChemBart_Small_20m,2.0,bace_classification,classification,0.825,,2.070001,-13,1,0.7831687927246094,0,0
ChemBart_Small_20m,2.0,bace_classification,classification,0.789312,,1.500124,-10,2,0.8561847805976868,5,5
ChemBart_Small_20m,2.0,bace_classification,classification,0.794928,,5.787635,-11,3,0.7974244952201843,2,4
ChemBart_Small_20m,2.0,bace_classification,classification,0.813043,,2.176689,-12,4,0.8716655969619751,6,1
ChemBart_Small_20m,2.0,bace_classification,classification,0.808514,,5.098397,-12,5,0.8203545212745667,3,3
ChemBart_Small_20m,2.0,bace_classification,classification,0.812138,,2.585045,-12,6,0.8324176669120789,4,2
ChemBart_Small_20m,2.0,bace_regression,regression,1.307445,1.133937,2.801258,-14,0,0.6724404096603394,6,6
ChemBart_Small_20m,2.0,bace_regression,regression,0.897518,0.74581,5.592954,-24,1,0.4536722302436828,0,1
ChemBart_Small_20m,2.0,bace_regression,regression,0.914674,0.730388,2.97474,-25,2,0.5706096291542053,5,3
