model_mtr_name,model_mtr_ep,dataset_name,dataset_type,metric_1,metric_2,p_value_mantissa,p_value_exponent,epoch,loss,loss_ranking,metric_1_ranking
ChemBerta_Medium_10m,0.0,bace_classification,classification,0.731884,,5.636515,-7,0,0.7903192639350891,6,6
ChemBerta_Medium_10m,0.0,bace_classification,classification,0.802174,,1.620402,-11,1,0.683147668838501,5,2
ChemBerta_Medium_10m,0.0,bace_classification,classification,0.808877,,4.766534,-12,2,0.6469632387161255,1,0
ChemBerta_Medium_10m,0.0,bace_classification,classification,0.793659,,7.194741,-11,3,0.6624162793159485,2,5
ChemBerta_Medium_10m,0.0,bace_classification,classification,0.798188,,3.284175,-11,4,0.6467873454093933,0,4
ChemBerta_Medium_10m,0.0,bace_classification,classification,0.801812,,1.728991,-11,5,0.6782657504081726,3,3
ChemBerta_Medium_10m,0.0,bace_classification,classification,0.804891,,9.920823,-12,6,0.6811289191246033,4,1
ChemBerta_Medium_10m,0.0,bace_regression,regression,0.952526,0.788736,2.033278,-27,0,0.339329183101654,0,5
ChemBerta_Medium_10m,0.0,bace_regression,regression,0.977815,0.788688,1.129748,-24,1,0.5211856365203857,6,6
ChemBerta_Medium_10m,0.0,bace_regression,regression,0.710961,0.580815,1.439681,-32,2,0.4430699646472931,1,0
ChemBerta_Medium_10m,0.0,bace_regression,regression,0.813748,0.658978,1.068389,-29,3,0.4696729183197021,3,1
ChemBerta_Medium_10m,0.0,bace_regression,regression,0.840201,0.685516,3.727065,-28,4,0.4770337045192718,5,2
ChemBerta_Medium_10m,0.0,bace_regression,regression,0.901986,0.715676,4.656922,-26,5,0.4733240902423858,4,4
ChemBerta_Medium_10m,0.0,bace_regression,regression,0.844447,0.669111,9.262626,-27,6,0.4566269516944885,2,3
ChemBerta_Medium_10m,0.0,delaney,regression,0.725027,0.584056,6.565638,-30,0,0.5389062762260437,6,6
ChemBerta_Medium_10m,0.0,delaney,regression,0.587196,0.455616,1.027444,-32,1,0.5015888810157776,5,5
ChemBerta_Medium_10m,0.0,delaney,regression,0.458246,0.374214,1.164411,-41,2,0.4271844923496246,3,2
