model_mtr_name,model_mtr_ep,dataset_name,dataset_type,metric_1,metric_2,p_value_mantissa,p_value_exponent,epoch,loss,loss_ranking,metric_1_ranking
ChemBerta_Small_20m,0.0,bace_classification,classification,0.753261,,3.545246,-8,0,0.7458887100219727,6,6
ChemBerta_Small_20m,0.0,bace_classification,classification,0.790399,,1.25043,-10,1,0.7171062231063843,5,4
ChemBerta_Small_20m,0.0,bace_classification,classification,0.78442,,3.358749,-10,2,0.666062593460083,1,5
ChemBerta_Small_20m,0.0,bace_classification,classification,0.802536,,1.518437,-11,3,0.6873840689659119,2,1
ChemBerta_Small_20m,0.0,bace_classification,classification,0.799819,,2.464493,-11,4,0.6639614701271057,0,3
ChemBerta_Small_20m,0.0,bace_classification,classification,0.802899,,1.422703,-11,5,0.6998348832130432,3,0
ChemBerta_Small_20m,0.0,bace_classification,classification,0.802355,,1.568617,-11,6,0.7048245668411255,4,2
ChemBerta_Small_20m,0.0,bace_regression,regression,0.797858,0.663171,2.453362,-28,0,0.4264475405216217,3,1
ChemBerta_Small_20m,0.0,bace_regression,regression,0.751222,0.607039,5.163596,-30,1,0.4122476279735565,1,0
ChemBerta_Small_20m,0.0,bace_regression,regression,0.81584,0.662034,2.925648,-26,2,0.3806554675102234,0,2
ChemBerta_Small_20m,0.0,bace_regression,regression,0.905863,0.733994,3.925974,-25,3,0.4597574770450592,6,4
ChemBerta_Small_20m,0.0,bace_regression,regression,0.896462,0.720093,3.246238,-25,4,0.4556441009044647,5,3
ChemBerta_Small_20m,0.0,bace_regression,regression,0.911189,0.724163,9.275773,-24,5,0.4255055785179138,2,5
ChemBerta_Small_20m,0.0,bace_regression,regression,0.941105,0.736388,5.612218,-23,6,0.4419092237949371,4,6
ChemBerta_Small_20m,0.0,delaney,regression,0.750624,0.61792,1.652193,-28,0,0.6263407468795776,6,6
ChemBerta_Small_20m,0.0,delaney,regression,0.512465,0.397465,2.897483,-34,1,0.4095814824104309,4,5
ChemBerta_Small_20m,0.0,delaney,regression,0.46101,0.360614,2.414211,-36,2,0.4234249293804168,5,3
ChemBerta_Small_20m,0.0,delaney,regression,0.490322,0.394587,1.14513,-35,3,0.386970579624176,1,4
ChemBerta_Small_20m,0.0,delaney,regression,0.457955,0.364254,3.711456,-39,4,0.3879465758800506,2,2
ChemBerta_Small_20m,0.0,delaney,regression,0.443663,0.34658,6.122187,-39,5,0.3892167806625366,3,1
ChemBerta_Small_20m,0.0,delaney,regression,0.43901,0.34706,1.734982,-39,6,0.3861592411994934,0,0
ChemBerta_Small_20m,0.0,hiv,classification,0.733286,,8.215217,-20,0,0.2042913734912872,6,6
ChemBerta_Small_20m,0.0,hiv,classification,0.756764,,1.037644,-23,1,0.0818985998630523,1,3
ChemBerta_Small_20m,0.0,hiv,classification,0.755579,,1.667795,-23,2,0.0924481973052024,5,4
ChemBerta_Small_20m,0.0,hiv,classification,0.738987,,1.007122,-20,3,0.0800481140613555,0,5
ChemBerta_Small_20m,0.0,hiv,classification,0.764798,,3.924429,-25,4,0.0830747783184051,3,2
ChemBerta_Small_20m,0.0,hiv,classification,0.774356,,6.960548,-27,5,0.082783430814743,2,0
ChemBerta_Small_20m,0.0,hiv,classification,0.774038,,7.981146,-27,6,0.0837886184453964,4,1
ChemBerta_Small_20m,0.0,lipo,regression,0.797409,0.632797,3.511458,-25,0,0.6778063178062439,6,4
ChemBerta_Small_20m,0.0,lipo,regression,0.799646,0.638485,1.687094,-25,1,0.6050344705581665,4,5
ChemBerta_Small_20m,0.0,lipo,regression,0.808986,0.64932,5.245674,-28,2,0.6293191909790039,5,6
ChemBerta_Small_20m,0.0,lipo,regression,0.77745,0.60886,2.597759,-33,3,0.5962249040603638,3,3
ChemBerta_Small_20m,0.0,lipo,regression,0.751615,0.581465,8.47224,-37,4,0.5653135776519775,2,2
ChemBerta_Small_20m,0.0,lipo,regression,0.735409,0.563724,1.693144,-39,5,0.5620215535163879,1,0
ChemBerta_Small_20m,0.0,lipo,regression,0.735984,0.56384,4.171542,-40,6,0.5617689490318298,0,1
ChemBerta_Small_20m,0.0,tox21_sr_p53,classification,0.731544,,1.426242,-7,0,0.188280239701271,6,6
ChemBerta_Small_20m,0.0,tox21_sr_p53,classification,0.765223,,1.50194,-9,1,0.172367975115776,2,5
ChemBerta_Small_20m,0.0,tox21_sr_p53,classification,0.79364,,1.949108,-11,2,0.1680466383695602,0,4
ChemBerta_Small_20m,0.0,tox21_sr_p53,classification,0.796106,,1.307496,-11,3,0.1689635962247848,1,3
ChemBerta_Small_20m,0.0,tox21_sr_p53,classification,0.807202,,2.073489,-12,4,0.1752015501260757,4,0
ChemBerta_Small_20m,0.0,tox21_sr_p53,classification,0.801248,,5.620848,-12,5,0.1737339049577713,3,2
ChemBerta_Small_20m,0.0,tox21_sr_p53,classification,0.801819,,5.112599,-12,6,0.1778302788734436,5,1
ChemBerta_Small_20m,1.0,bace_classification,classification,0.770652,,2.902656,-9,0,0.6841499209403992,2,6
ChemBerta_Small_20m,1.0,bace_classification,classification,0.803986,,1.169304,-11,1,0.677920937538147,0,4
ChemBerta_Small_20m,1.0,bace_classification,classification,0.815761,,1.292746,-12,2,0.6810722351074219,1,0
ChemBerta_Small_20m,1.0,bace_classification,classification,0.802355,,1.568617,-11,3,0.6981395483016968,3,5
ChemBerta_Small_20m,1.0,bace_classification,classification,0.811232,,3.067365,-12,4,0.7128849625587463,4,2
ChemBerta_Small_20m,1.0,bace_classification,classification,0.812862,,2.252998,-12,5,0.7140043377876282,5,1
ChemBerta_Small_20m,1.0,bace_classification,classification,0.808333,,5.272629,-12,6,0.7240192890167236,6,3
ChemBerta_Small_20m,1.0,bace_regression,regression,0.946276,0.792846,7.285387,-28,0,0.4401295185089111,1,5
ChemBerta_Small_20m,1.0,bace_regression,regression,0.847325,0.694412,3.084757,-30,1,0.4034003317356109,0,1
ChemBerta_Small_20m,1.0,bace_regression,regression,0.783748,0.641348,2.076831,-31,2,0.4443482756614685,2,0
ChemBerta_Small_20m,1.0,bace_regression,regression,1.083846,0.868763,3.531287,-21,3,0.5051614046096802,5,6
ChemBerta_Small_20m,1.0,bace_regression,regression,0.905169,0.715895,1.464179,-24,4,0.5249506235122681,6,3
ChemBerta_Small_20m,1.0,bace_regression,regression,0.913914,0.712615,5.016173,-24,5,0.4895757138729095,4,4
ChemBerta_Small_20m,1.0,bace_regression,regression,0.890144,0.697067,3.040902,-24,6,0.4790628254413605,3,2
ChemBerta_Small_20m,1.0,delaney,regression,0.642512,0.512578,1.369803,-24,0,0.4718131124973297,6,6
ChemBerta_Small_20m,1.0,delaney,regression,0.529063,0.398026,2.059719,-30,1,0.4659508764743805,4,1
ChemBerta_Small_20m,1.0,delaney,regression,0.492488,0.382678,3.793586,-32,2,0.429522305727005,0,0
ChemBerta_Small_20m,1.0,delaney,regression,0.532111,0.419823,4.281699,-31,3,0.4693340063095093,5,2
ChemBerta_Small_20m,1.0,delaney,regression,0.60222,0.45613,3.180096,-31,4,0.4504908323287964,3,5
ChemBerta_Small_20m,1.0,delaney,regression,0.564963,0.428533,2.344876,-31,5,0.4389959275722503,1,4
ChemBerta_Small_20m,1.0,delaney,regression,0.559959,0.429026,1.355394,-31,6,0.440195620059967,2,3
ChemBerta_Small_20m,1.0,hiv,classification,0.634014,,1.829919,-7,0,0.0945582762360572,6,6
ChemBerta_Small_20m,1.0,hiv,classification,0.748823,,2.385374,-22,1,0.0827973559498786,2,5
ChemBerta_Small_20m,1.0,hiv,classification,0.749545,,1.801109,-22,2,0.0926205590367317,5,4
ChemBerta_Small_20m,1.0,hiv,classification,0.761235,,1.698838,-24,3,0.0877981036901474,4,2
ChemBerta_Small_20m,1.0,hiv,classification,0.752139,,6.522215,-23,4,0.0796433538198471,0,3
ChemBerta_Small_20m,1.0,hiv,classification,0.78,,6.003787,-28,5,0.0828704088926315,3,0
ChemBerta_Small_20m,1.0,hiv,classification,0.779536,,7.356758,-28,6,0.0825723856687545,1,1
ChemBerta_Small_20m,1.0,lipo,regression,0.861304,0.712418,2.284803,-17,0,0.6986663937568665,5,5
ChemBerta_Small_20m,1.0,lipo,regression,0.918508,0.708702,4.002401,-28,1,0.709739089012146,6,6
ChemBerta_Small_20m,1.0,lipo,regression,0.770772,0.607624,5.448642,-32,2,0.6045020222663879,4,3
ChemBerta_Small_20m,1.0,lipo,regression,0.796267,0.618723,1.720322,-35,3,0.5919678807258606,3,4
ChemBerta_Small_20m,1.0,lipo,regression,0.745586,0.585119,2.816051,-39,4,0.5564915537834167,2,2
ChemBerta_Small_20m,1.0,lipo,regression,0.73809,0.57691,1.300785,-40,5,0.5449129939079285,0,0
ChemBerta_Small_20m,1.0,lipo,regression,0.743033,0.582224,3.379758,-40,6,0.5460990071296692,1,1
ChemBerta_Small_20m,1.0,tox21_sr_p53,classification,0.731905,,1.362875,-7,0,0.1764466911554336,2,6
ChemBerta_Small_20m,1.0,tox21_sr_p53,classification,0.754217,,7.132856,-9,1,0.1838728934526443,6,5
ChemBerta_Small_20m,1.0,tox21_sr_p53,classification,0.787355,,5.305575,-11,2,0.1803664267063141,5,3
