model_mtr_name,model_mtr_ep,dataset_name,dataset_type,metric_1,metric_2,p_value_mantissa,p_value_exponent,epoch,loss,loss_ranking,metric_1_ranking
ChemBerta_Small_20m,0.0,bace_classification,classification,0.728442,,8.540786,-7,0,0.7729297280311584,6,6
ChemBerta_Small_20m,0.0,bace_classification,classification,0.759783,,1.426026,-8,1,0.7605054974555969,5,5
ChemBerta_Small_20m,0.0,bace_classification,classification,0.781159,,5.68074,-10,2,0.6449278593063354,0,4
ChemBerta_Small_20m,0.0,bace_classification,classification,0.788949,,1.593598,-10,3,0.7489499449729919,4,3
ChemBerta_Small_20m,0.0,bace_classification,classification,0.811775,,2.768419,-12,4,0.698555052280426,1,0
ChemBerta_Small_20m,0.0,bace_classification,classification,0.796014,,4.796944,-11,5,0.7282595634460449,2,2
ChemBerta_Small_20m,0.0,bace_classification,classification,0.800725,,2.098777,-11,6,0.7476939558982849,3,1
ChemBerta_Small_20m,0.0,bace_regression,regression,0.926818,0.765198,9.089446,-25,0,0.4677836298942566,3,2
ChemBerta_Small_20m,0.0,bace_regression,regression,0.907109,0.728108,1.046593,-25,1,0.4777811765670776,6,1
ChemBerta_Small_20m,0.0,bace_regression,regression,0.89228,0.691403,3.737105,-23,2,0.4378868639469147,0,0
ChemBerta_Small_20m,0.0,bace_regression,regression,1.003366,0.778712,4.319518,-21,3,0.4702829122543335,4,6
ChemBerta_Small_20m,0.0,bace_regression,regression,0.939365,0.73997,1.929477,-23,4,0.4610853493213653,2,3
ChemBerta_Small_20m,0.0,bace_regression,regression,0.984382,0.759733,2.065897,-21,5,0.4720046818256378,5,5
ChemBerta_Small_20m,0.0,bace_regression,regression,0.939859,0.721846,3.997328,-23,6,0.4558674395084381,1,4
ChemBerta_Small_20m,0.0,delaney,regression,0.706766,0.54066,8.121693,-29,0,0.5622730851173401,6,5
ChemBerta_Small_20m,0.0,delaney,regression,0.739602,0.557864,2.228655,-29,1,0.5513535737991333,5,6
ChemBerta_Small_20m,0.0,delaney,regression,0.463493,0.373637,2.588668,-38,2,0.3862062394618988,0,0
ChemBerta_Small_20m,0.0,delaney,regression,0.500884,0.400299,2.706768,-38,3,0.3996704518795013,3,2
ChemBerta_Small_20m,0.0,delaney,regression,0.496681,0.396908,5.436151,-38,4,0.4007123410701751,4,1
ChemBerta_Small_20m,0.0,delaney,regression,0.50464,0.399922,3.247699,-37,5,0.3933145105838775,1,3
ChemBerta_Small_20m,0.0,delaney,regression,0.509404,0.40164,7.117537,-37,6,0.3952637314796448,2,4
